City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
91,Cayenne,GF,4.9333,-52.3333,73.44,100,100,0.0
92,Decatur,US,39.8403,-88.9548,61.88,63,0,9.22
93,Sitka,US,57.0531,-135.33,37.29,75,100,19.57
94,Gigmoto,PH,13.7796,124.39,81.54,83,100,5.14
95,Yellowknife,CA,62.456,-114.3525,10.92,79,100,13.8
96,Imbituba,BR,-28.24,-48.6703,59.61,87,8,4.09
97,Tshikapa,CD,-6.4167,20.8,73.0,85,100,3.65
98,Kodiak,US,57.79,-152.4072,38.71,70,100,14.97
99,Te Anau,NZ,-45.4167,167.7167,53.58,80,0,1.23
100,Fortuna,US,40.5982,-124.1573,40.35,100,100,6.91
101,Mgachi,RU,51.05,142.2667,26.06,64,100,20.4
102,Katsuura,JP,35.1333,140.3,65.98,68,43,14.5
103,Geraldton,AU,-28.7667,114.6,72.01,53,100,14.97
104,Flinders,AU,-34.5833,150.8552,66.38,74,14,11.61
105,Zharkent,KZ,44.1628,80.0,43.97,43,12,3.38
106,Maine-Soroa,NE,13.2114,12.0241,87.89,13,40,12.68
107,Codajas,BR,-3.8367,-62.0569,72.64,96,79,2.86
108,Coquimbo,CL,-29.9533,-71.3436,51.53,87,0,4.61
109,Homer,US,59.6425,-151.5483,35.49,78,100,0.0
110,Yumen,CN,40.2833,97.2,45.3,30,94,11.92
111,Bathsheba,BB,13.2167,-59.5167,81.21,83,40,16.11
112,Castro,BR,-24.7911,-50.0119,52.99,96,83,4.12
113,Puerto Escondido,MX,15.85,-97.0667,76.1,85,0,4.7
114,Camacha,PT,33.0833,-16.3333,62.02,82,20,2.3
115,Kununurra,AU,-15.7667,128.7333,84.18,65,96,3.44
116,Mar Del Plata,AR,-38.0023,-57.5575,60.87,95,75,7.0
117,Deputatskiy,RU,69.3,139.9,-13.05,95,100,4.45
118,Bethel,US,41.3712,-73.414,43.43,91,0,3.0
119,Tasiilaq,GL,65.6145,-37.6368,32.16,91,100,4.0
120,Astoria,US,46.1879,-123.8313,40.89,93,100,3.44
121,Ancud,CL,-41.8697,-73.8203,51.6,95,100,6.33
122,Phulabani,IN,20.4667,84.2333,78.73,45,48,5.97
123,Torbay,CA,47.6666,-52.7314,32.58,71,75,17.27
124,Butaritari,KI,3.0707,172.7902,81.95,74,100,16.73
125,Narsaq,GL,60.9167,-46.05,30.42,94,100,5.12
126,Klaksvik,FO,62.2266,-6.589,50.92,87,73,30.87
127,Champerico,GT,14.3,-91.9167,75.07,86,2,3.02
128,Kichera,RU,55.9375,110.0997,11.79,90,85,3.4
129,Buena Vista,US,43.4203,-83.8986,59.29,46,0,9.22
130,Safakulevo,RU,54.9901,62.5442,33.15,99,98,9.01
131,Bambous Virieux,MU,-20.3428,57.7575,81.21,61,40,9.22
132,Bengkulu,ID,-3.8004,102.2655,77.76,85,100,1.41
133,Grindavik,IS,63.8424,-22.4338,44.55,87,75,16.11
134,Dryden,CA,49.7833,-92.7503,26.89,86,100,10.36
135,Aksu,CN,41.1231,80.2644,50.92,32,1,4.36
136,Dafeng,CN,23.4517,108.5881,83.03,56,71,9.04
137,Qeshm,IR,26.9581,56.2719,87.67,60,6,3.09
138,Boguchany,RU,58.3814,97.4531,26.24,80,100,9.42
139,Kruisfontein,ZA,-34.0033,24.7314,62.89,63,100,14.9
140,Paamiut,GL,61.994,-49.6678,20.91,76,100,2.86
141,Esperance,AU,-33.8667,121.9,71.44,70,100,6.38
142,Ribeira Grande,PT,38.5167,-28.7,70.2,88,75,32.21
143,Utena,LT,55.5,25.6,46.02,97,100,8.32
144,Krasnoselkup,RU,65.7,82.4667,-11.94,99,52,3.8
145,Saskylakh,RU,71.9167,114.0833,-17.81,96,78,5.95
146,Los Llanos De Aridane,ES,28.6585,-17.9182,66.13,43,20,9.22
147,Vestmanna,FO,62.1564,-7.1664,49.12,87,100,18.41
148,Bozdar,PK,27.1828,68.636,89.69,26,0,0.36
149,Bredasdorp,ZA,-34.5322,20.0403,67.77,55,48,21.85
150,Biskamzha,RU,53.4497,89.5272,26.46,80,100,7.34
151,Canto Do Buriti,BR,-8.11,-42.9444,73.96,72,35,3.36
152,Sangar,RU,63.9242,127.4739,-5.67,93,100,11.14
153,Polyarnyye Zori,RU,67.3661,32.4981,31.39,93,100,4.97
154,Flin Flon,CA,54.7682,-101.865,-1.1,99,41,1.88
155,Talas,TR,38.6908,35.5538,45.27,76,75,0.0
156,Makakilo City,US,21.3469,-158.0858,75.56,69,0,10.36
157,Panzhihua,CN,26.5851,101.7128,75.69,44,0,1.97
158,Praya,CV,14.9215,-23.5087,75.74,78,0,10.36
159,Camargo,MX,27.6667,-105.1667,63.01,40,69,1.74
160,Naze,JP,28.3667,129.4833,74.32,76,18,9.62
161,Bolshaya Rechka,RU,51.9503,104.7355,25.07,92,100,7.54
162,Umreth,IN,22.7,73.1167,92.97,26,0,3.38
